nama_outlet;nama_penjamin;nomer_klaim;tanggal_klaim;jenis_kwitansi;saldo_awal;jual;bayar;saldo_akhir;past_due;goal;pencairan;status;status_tagihan;segmen_pihak;segmentasi_standarisasi;bayar_012024;bayar_022024;bayar_032024;bayar_042024;bayar_052024;bayar_062024;bayar_072024;bayar_082024;bayar_092024;bayar_102024;bayar_112024;bayar_122024;bayar_012025;bayar_022025;bayar_032025;bayar_042025;bayar_052025;bayar_062025;bayar_072025;bayar_082025;bayar_092025;bayar_102025;bayar_112025;bayar_122025;bayar_012026;bayar_022026;bayar_032026;bayar_042026;bayar_052026;bayar_062026;bayar_072026;bayar_082026;bayar_092026;bayar_102026;bayar_112026;bayar_122026;kirim_berkas;verifikasi;feedback;tanggal_bayar
KF.Sumenep;YAKES TELKOM-DEFAULT;MDR020221002107731;30/06/2022;DPP+PPN;769757;0;0;769757;1344;0;0;Past Due;Tertagih;PIHAK KETIGA;SWASTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KF.Sumenep;YAKES TELKOM-DEFAULT;MDR020220902389498;31/08/2022;DPP+PPN;367830;0;0;367830;1282;0;0;Past Due;Tertagih;PIHAK KETIGA;SWASTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KF.Sumenep;YAKES TELKOM-DEFAULT;MDR020221103908685;31/10/2022;DPP+PPN;353310;0;0;353310;1221;0;0;Past Due;Tertagih;PIHAK KETIGA;SWASTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KF.Sumenep;YAKES TELKOM-DEFAULT;MDR020221203784179;30/11/2022;DPP+PPN;399207;0;0;399207;1191;0;0;Past Due;Tertagih;PIHAK KETIGA;SWASTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KF.0163;ADMEDIKA PAYOR PT-PAYOR GROUP;MDR020230103569307;31/12/2022;DPP+PPN;133411;0;0;133411;1160;0;0;Past Due;Tertagih;PIHAK KETIGA;SWASTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KF.0163;ASURANSI JIWA INHEALTH IN-KFD INHEALTH FEE FOR SERVICE;MDR020230103790814;31/12/2022;DPP+PPN;39310;0;0;39310;1160;0;0;Past Due;Tertagih;AFILIASI;AFILIASI KF DIAGNOSTIK LAINNYA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KF.Sumenep;YAKES TELKOM-DEFAULT;MDR020230103061222;31/12/2022;DPP+PPN;370385;0;0;370385;1160;0;0;Past Due;Tertagih;PIHAK KETIGA;SWASTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KF.0163;ADMEDIKA PAYOR PT-PAYOR GROUP;MDR020230502888362;30/04/2023;DPP+PPN;55483;0;0;55483;1040;0;0;Past Due;Tertagih;PIHAK KETIGA;SWASTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KF.0163;KIMIA FARMA (PERSERO) TBK-PEMASARAN;MDR020230705642699;30/06/2023;DPP+PPN;4068078;0;0;4068078;979;0;0;Past Due;Tertagih;AFILIASI;AFILIASI KF HOLDING;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KF.0163;ADMEDIKA PAYOR PT-PAYOR GROUP;MDR020230803538139;31/07/2023;DPP+PPN;47869;0;0;47869;948;0;0;Past Due;Tertagih;PIHAK KETIGA;SWASTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
